Invoice_Date,Customer_Code,Customer_Name,Item_Code,Zone,HQ,Brand,Item_Description,QTY,AMOUNT
2022-08-09,306064,Poultech Agro Foods Pvt. Ltd.,10008978,East,Bhubeneswar,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,75000
2022-08-09,306064,Poultech Agro Foods Pvt. Ltd.,10008978,East,Bhubeneswar,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),500,37500
2022-08-09,304984,Divi Enterprises,10007224,South,Hyderabad ,Poszyme,Poszyme 5000 (25 Kg) (Granules),300,24900
2022-08-09,304984,Divi Enterprises,10007224,South,Hyderabad ,Poszyme,Poszyme 5000 (25 Kg) (Granules),1700,141100
2022-08-09,306121,New Hema Enterprises,10010115,South,Hyderabad ,Kem-O-Cid pHB,Kem-O-Cid pHB (5L*2),370,46990
2022-08-09,306121,New Hema Enterprises,10014976,South,Hyderabad ,Xerotox,Xerotox Premium (5 x 5Kg),100,9000
2022-08-09,306121,New Hema Enterprises,10014976,South,Hyderabad ,Xerotox,Xerotox Premium (5 x 5Kg),400,36000
2022-08-09,306121,New Hema Enterprises,10014153,South,Hyderabad ,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),325,227500
2022-08-09,306121,New Hema Enterprises,10014153,South,Hyderabad ,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),175,122500
2022-08-09,306121,New Hema Enterprises,10014153,South,Hyderabad ,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),500,350000
2022-08-09,304996,Shree Om Sai Venterinary Sales,10008978,West,Sangli,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),500,41500
2022-08-09,304996,Shree Om Sai Venterinary Sales,10008978,West,Sangli,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,83000
2022-08-09,304996,Shree Om Sai Venterinary Sales,10014991,West,Sangli,Premin,Premin L (25Kg),275,13200
2022-08-09,304996,Shree Om Sai Venterinary Sales,10014991,West,Sangli,Premin,Premin L (25Kg),500,24000
2022-08-09,304996,Shree Om Sai Venterinary Sales,10014991,West,Sangli,Premin,Premin L (25Kg),225,10800
2022-08-09,304996,Shree Om Sai Venterinary Sales,10009988,West,Sangli,Previte ADBEC,Previte ADBEC (10 x 1 Lit),50,33000
2022-08-09,306044,C S R M Enterprises,10011436,South,Tanuku,Previte Chick Pro,Previte Chick Pro (1L x 10),250,110000
2022-08-09,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),450,49500
2022-08-09,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-09,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),50,5500
2022-08-09,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-09,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-09,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-09,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-09,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-09,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-09,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-09,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-10-09,304967,Sree Meerambika Agencies,10015568,South,Hospet,NDZ Forte,NDZ Forte (5 x 5Kg),225,54000
2022-10-09,304967,Sree Meerambika Agencies,10015568,South,Hospet,NDZ Forte,NDZ Forte (5 x 5Kg),500,120000
